"specimen","age","stdev_age","num_amtl","sockets"
"NMNH227455",11.6610089,1.26803942,0,32
"MH1503",15.567015,1.80774282,1,32
"MH4767",15.567015,1.80774282,2,32
"NMNH380448",15.7840154,1.83988868,0,32
"UVS46",16.9026504,1.89297439,0,32
"NMNH226089",16.4350164,1.93720666,0,32
"UVS142",17.6532469,1.99807578,0,32
"UVS68",17.6532469,1.99807578,0,32
"MH5330",17.3030178,2.06875973,0,32
"UVS59",18.7791418,2.1579761,0,32
"IPHA.22",17.3452797,2.19049743,1,27
"IPHA.1",17.6784056,2.24541074,0,28
"UVS29",19.5297384,2.26582834,0,32
"UVS62",19.5297384,2.26582834,0,16
"NMNH329778",18.6050198,2.26921034,0,33
"IPHA.45",18.0115315,2.30054789,0,16
"NMNH226090",19.0390205,2.33671692,1,31
"IPHA.48",18.3446573,2.35589319,2,30
"MH11150",17.1850548,2.392161,0,16
"NMNH278709",17.1850548,2.392161,16,30
"NMNH278713",17.1850548,2.392161,0,31
"IPHA.29",18.6777832,2.41143228,4,32
"NMNH278704",17.4388288,2.43978021,0,32
"MH1509",19.9070219,2.47259539,0,32
"BRK126087",20.1761807,2.50774612,0,32
"NMNH380429",27.417015,2.52520843,26,31
"UVS101",21.7815281,2.59401611,0,32
"UVS104",21.7815281,2.59401611,0,32
"UVS119",21.7815281,2.59401611,0,16
"UVS60",21.7815281,2.59401611,0,16
"IPHA.2",20.0102867,2.63528098,3,32
"IPHA.46",20.0102867,2.63528098,4,25
"PMN3065",28.2850164,2.64088713,0,16
"MH2896",22.1568264,2.64926405,0,32
"UVS1",22.1568264,2.64926405,0,32
"UVS57",22.1568264,2.64926405,2,32
"UVS76",22.1568264,2.64926405,0,32
"NMNH278716",18.7076986,2.67965585,0,32
"NMNH330604",21.4260243,2.71270581,0,32
"MH1511",21.6430246,2.74721254,1,16
"NMNH226087",21.6430246,2.74721254,0,16
"IPHA.34",21.0096643,2.80466038,2,30
"BRK126124",22.0893133,2.81004779,0,32
"BRK126291",22.0893133,2.81004779,1,7
"UVS38",23.2827213,2.81576611,0,32
"UVS42",23.2827213,2.81576611,0,16
"MH3619",22.0770253,2.81636112,0,32
"MH4763",22.0770253,2.81636112,2,33
"BRK126252",22.4719398,2.87094128,0,32
"IPHA.30",21.6759161,2.91816725,2,32
"MH24893",24.0333178,2.92732743,1,9
"UVS58",24.0333178,2.92732743,0,16
"BRK126774",22.8545663,2.93195822,8,32
"BRK125610",23.0458795,2.9625106,1,31
"NMNH278708",20.2303425,2.97066069,0,32
"UVS22",24.4086161,2.98325724,11,32
"BRK126764",23.2371928,2.99309106,0,32
"MH5325",23.3790273,3.02477635,0,16
"NMNH380447",23.3790273,3.02477635,3,32
"PMN1390",23.3790273,3.02477635,0,32
"PMN3064",23.3790273,3.02477635,0,15
"UVS10",24.7839144,3.03927918,0,32
"BRK126054",23.6198193,3.05433283,0,15
"BRK126104",23.6198193,3.05433283,0,32
"BRK126107",23.6198193,3.05433283,5,32
"BRK126758",23.6198193,3.05433283,0,32
"BRK126100",25.0865542,3.08319431,7,32
"IPHA.14",22.6752937,3.08917899,5,32
"MH4665",23.813028,3.09453499,0,32
"UVS67",25.1592127,3.09538823,1,32
"MH4765",25.2000219,3.10683206,2,15
"NMNH278710",20.9916644,3.11717264,0,32
"NMNH344712",24.0300284,3.12946271,0,30
"BRK126243",25.5967229,3.16436617,16,30
"MH5329",24.2470287,3.16442127,2,32
"MH19777",21.2454384,3.1661365,0,16
"BRK126271",25.8518072,3.20502776,10,31
"NMNH350098",24.6086959,3.22275136,0,32
"PMN1497",25.1150301,3.30454439,0,16
"UVS3",26.6604059,3.32060722,0,32
"NMNH380449",25.259697,3.32794049,1,16
"NMNH258483",25.3320304,3.33964284,0,32
"IPHA.12",25.9695385,3.35489121,3,32
"NMNH278702",22.2605342,3.36255085,12,31
"PMN7459",25.5490307,3.37476666,5,32
"UVS102",27.0357042,3.37708808,0,32
"UVS34",27.0357042,3.37708808,0,16
"MH3337",33.4930246,3.38309356,1,16
"BRK126094",25.9155783,3.42374303,0,32
"UCD2(2)b",25.9155783,3.42374303,0,30
"UVS49",27.4110024,3.43363244,1,33
"MH1505",25.9830314,3.44508735,0,32
"MH5327",25.9830314,3.44508735,0,16
"PMN1496",25.9830314,3.44508735,0,16
"BRK126244",26.1068916,3.45465859,0,31
"BRK126755",26.1068916,3.45465859,0,22
"IPHA.15",26.6357902,3.46891175,2,13
"IPHA.9",26.6357902,3.46891175,5,15
"BRK125827",27.5736265,3.48066219,0,32
"BRK126117",26.2982048,3.48559185,0,32
"BRK126250",26.2982048,3.48559185,0,30
"BRK126760",26.2982048,3.48559185,0,30
"UVS40",28.5757213,3.49137561,0,32
"MH17264",27.804026,3.52464829,2,31
"UVS24",28.161599,3.54689952,2,29
"BRK126089",26.6808313,3.54750963,4,32
"BRK126118",26.6808313,3.54750963,1,32
"BRK126766",26.6808313,3.54750963,0,32
"MH20325",26.8510328,3.58600079,1,32
"MH3638",26.8510328,3.58600079,0,32
"NMNH350097",26.8510328,3.58600079,0,32
"UVS12",28.5368973,3.60361662,0,16
"UVS2",28.5368973,3.60361662,0,32
"IPHA.13",25.6734266,3.6064238,2,32
"MH19784",23.5294041,3.60915514,0,33
"MH2283",18.9063043,3.6143239,0,16
"BRK125800",28.5301928,3.63455838,0,29
"UVS63",28.9121956,3.66038599,10,32
"IPHA.10b",26.0065524,3.66420581,3,31
"IPHA.5",26.0065524,3.66420581,3,30
"BRK125598",27.6373976,3.70258313,0,25
"AMNH99.1/83-A",32.0178426,3.7220627,7,30
"BRK125458",29.1041325,3.72712188,1,24
"MH1507",27.7190342,3.7272427,8,32
"BRK126049",29.2954458,3.75801123,0,31
"IPHA.47",26.6728042,3.77992193,0,29
"IPHA.7",26.6728042,3.77992193,1,19
"BRK126248",28.5939639,3.85801676,0,32
"BRK126472",28.5939639,3.85801676,0,32
"NMNH380450",28.5870355,3.86877709,1,16
"PMN1389",28.5870355,3.86877709,0,16
"IPHA.28",27.3390559,3.89582582,1,32
"IPHA.3",27.3390559,3.89582582,1,16
"IPHA.49",27.3390559,3.89582582,2,32
"IPHA.25",29.3007972,3.92784897,4,24
"NMNH283613",25.3058219,3.95602419,0,32
"UVS52",31.1639853,4.00197497,0,32
"MH5328",29.4550369,4.01057301,0,16
"BRK126765",29.7418434,4.04495405,1,30
"BRK126767",31.2085783,4.06776118,0,32
"BRK126251",29.9331566,4.07615043,0,32
"NMNH344714",29.8890376,4.08156052,0,32
"NMNH380430",29.8890376,4.08156052,9,32
"BRK125822",30.3157831,4.13857528,0,32
"BRK126757",31.6549759,4.14023787,0,32
"BRK125810",30.5070964,4.16980327,1,32
"BRK126259",32.1651446,4.22315152,0,31
"BRK125661",32.3564578,4.25426601,0,32
"BRK126261",32.3564578,4.25426601,0,32
"NMNH380452",31.1910396,4.29484575,0,16
"BRK125679",32.7390843,4.31652929,0,32
"UVS105",41.1374939,4.32538295,5,27
"NMNH331242",31.40804,4.33043687,2,32
"MH19782",27.3360137,4.35423659,0,16
"BRK126113",32.9941687,4.35806278,1,32
"NMNH283606",27.5897877,4.40412318,0,32
"BRK126256",32.0376024,4.41997173,0,32
"MH20326",32.059041,4.43727895,0,16
"MH4460",32.059041,4.43727895,4,32
"NMNH278707",27.8435616,4.45403148,7,32
"NMNH380453",32.2760413,4.47291497,0,32
"UCD2(L-23-1)b",33.8869639,4.50357659,1,33
"NMNH344715",32.4930417,4.50856156,2,32
"NMNH278701",28.3511096,4.55391036,19,32
"NMNH344711",33.1440427,4.61556224,2,32
"BRK125811",34.6522169,4.62847197,0,28
"NMNH330607",34.7480369,4.65477138,3,8
"NMNH278712",31.6139178,4.709013,3,30
"MH3616",33.7950437,4.72264949,1,32
"NMNH344713",33.7950437,4.72264949,2,16
"NMNH380464",33.7950437,4.72264949,0,32
"BRK125670",35.8000964,4.81608016,1,23
"BRK126076",35.8000964,4.81608016,0,16
"BRK126761",35.8000964,4.81608016,2,32
"NMNH283609a",29.8737534,4.85399919,0,32
"NMNH226086",34.6630451,4.86555727,12,31
"MH4459",36.0500389,4.86831607,0,32
"UCD2(6)b",36.1827229,4.87868148,0,32
"NMNH278706",30.1275274,4.90407388,6,32
"BRK126260",36.3740361,4.90999368,1,32
"AMNH99.1/89-B",28.4213341,4.93536963,0,32
"BRK125666",36.5653494,4.94131337,0,16
"BRK126121",36.5653494,4.94131337,1,32
"BRK126266",36.5653494,4.94131337,8,32
"BRK126292",36.5653494,4.94131337,0,31
"MH24934A",30.3813014,4.9541643,0,16
"BRK125676",36.7566627,4.97264041,0,29
"BRK125802",36.7566627,4.97264041,3,26
"BRK125675",36.9479759,5.00397466,5,33
"UCD2(16)b",36.9479759,5.00397466,1,32
"BRK125821",37.1392892,5.035316,0,32
"BRK126264",37.1392892,5.035316,0,29
"MH20914",24.2760145,5.04927738,0,16
"BRK126768",37.3306024,5.06666429,8,28
"UCD2(10.1)b",37.3306024,5.06666429,5,31
"BRK126092",37.5219157,5.09801939,1,32
"UCD2(1)b",37.7132289,5.1293812,0,23
"NMNH350096",36.3990478,5.1517561,0,32
"PMN3064A",37.7860417,5.15359486,0,32
"AMNH99.1/103",29.6004044,5.18766442,0,32
"NMNH380451",38.2200424,5.22500246,2,17
"NMNH380466",37.2670492,5.29502645,0,24
"BRK126776",38.8611084,5.31768598,3,32
"MH19826",25.3499565,5.33816474,0,16
"NMNH331243",39.0880437,5.3679133,0,32
"AMNH99.1/84-A",30.7794746,5.44029653,0,32
"AMNH99.1/98",30.7794746,5.44029653,2,32
"BRK125678",39.6263614,5.44334199,3,31
"BRK126247",39.6263614,5.44334199,0,32
"BRK126773",39.6263614,5.44334199,5,32
"NMNH329779",40.1730454,5.5467185,2,32
"NMNH278711",33.426589,5.55632114,2,31
"AMNH99.1/75-A",31.3690097,5.56672472,0,32
"UCD2(3a)b",40.3916145,5.56908606,1,30
"UCD2(8)b",40.3916145,5.56908606,5,32
"MH20912",26.4238986,5.62745765,0,16
"AMNH99.1/91-A",31.9585448,5.69322104,11,32
"AMNH99.1/99",31.9585448,5.69322104,0,32
"AMNH99.1/102",34.8934044,5.70308472,1,32
"BRK125462",48.4791205,5.71046472,8,32
"AMNH99.1/105",32.5480799,5.81978104,0,32
"MH1525",42.5600492,5.94066321,3,31
"AMNH99.1/84-D",33.137615,5.94640065,0,16
"MH10289",28.0348116,6.06203036,0,32
"AMNH99.1/61",34.3166852,6.19980411,0,32
"AMNH99.1/94",34.3166852,6.19980411,0,32
"MH19776",38.5020685,6.56320224,0,32
"AMNH99.1/97",36.6748257,6.70718105,8,30
"AMNH99.1/100",37.5591283,6.89761633,0,32
"AMNH99.1/60",37.8538959,6.96111299,2,16
"AMNH99.1/96-A",37.8538959,6.96111299,0,32
"MH1861",22.418623,6.99594743,3,16
"AMNH99.1/101",39.0329661,7.2151844,10,22
"MH20913",32.8675507,7.36905252,0,16
"AMNH99.1/64",43.1468959,7.47240717,6,30
"MH1670",24.2408033,7.76244648,0,16
"UVS125",34.7,7.8,30,32
"UVS28",34.7,7.8,6,15
"AMNH99.1/110",41.9806416,7.85088419,2,15
"AMNH99.1/111",42.2754092,7.9144902,0,32
"AMNH99.1/109",43.749247,8.23260632,6,30
"AMNH99.1/112",43.749247,8.23260632,6,31
"AMNH99.1/80(b)",43.749247,8.23260632,0,15
"AMNH99.1/89-A",43.749247,8.23260632,0,32
"AMNH99.1/104",44.0440145,8.29624584,0,32
"MH22277",32,8.3,0,15
"AMNH99.1/86-C",47.2736416,8.3605854,5,31
"MH10291",36.6263478,8.38792417,0,32
"AMNH99.1/72",46.1073874,8.74186019,1,31
"AMNH99.1/80(a)",46.1073874,8.74186019,1,16
"AMNH99.1/84-C",46.1073874,8.74186019,3,16
"MH10285",38.2372609,8.82500633,0,32
"AMNH99.1/79",39.4,9.1,2,16
"MH1526",39.4,9.1,0,15
"UVS45",39.4,9.1,20,28
"MH1701",27.8851639,9.29798279,0,32
"UVS55",30.5,9.6,24,27
"AMNH99.1/86-D",50.8236683,9.7611705,9,28
"AMNH99.1/91-B",50.8236683,9.7611705,9,30
"AMNH99.1/59-B",40,10,0,16
"MH24934B",40,10,7,16
"NMNH278703",40,10,6,29
"NMNH283615",40,10,1,32
"NMNH330605",40,10,2,13
"NMNH330606",40,10,3,14
"BRK126125",41.1,10,5,15
"MH12317",41.1,10,4,31
"NMNH226088",41.1,10,0,12
"UVS56",41.1,10,27,30
"AMNH99.1/107",56.1166683,10.2682079,3,25
"BRK125832",45.6,10.4,2,16
"AMNH99.1/59",48.8,10.5,14,26
"AMNH99.1/84-B",48.8,10.5,12,28
"IPHA.36",48.8,10.5,18,24
"MH24592",44.680913,10.5751031,0,24
"MH12327",28.0919362,11.5228136,0,16
"MH1860",38.6447049,11.8783346,2,16
"MH22282",35.1738852,12.374796,0,16
"MH12323",51.9,12.5,5,16
"MH5563",51.9,12.5,6,16
"NMNH380431",51.9,12.5,23,32
